model_id,role,feature_view,n_wafers,n_lots,mae_um,rmse_um,macro_lot_mae_um,macro_lot_rmse_um,bias_um,r2_oof,median_absolute_error_um,delta_macro_lot_mae_vs_primary_um,sse_skill_vs_dummy,dummy_model_id
elastic_net,model_comparison,cycle_context,88,10,0.09027860441484291,0.11505803486485466,0.0920580732709445,0.11259481415808255,0.013693402745709142,0.9171023158111781,0.07002418566183621,-0.03185199359347585,0.9190409211556557,dummy_mean
pls,model_comparison,cycle_context,88,10,0.10916364649599185,0.14146977617018597,0.11122692348114796,0.1347339126797548,0.010866658985741816,0.8746755444025467,0.0786412625003976,-0.01268314338327238,0.8776063218035363,dummy_mean
cycle_ridge,reference_model,cycle_context,88,10,0.12396884132448713,0.15561155442214225,0.12391006686442034,0.14822113702989245,0.027605083056957514,0.8483675417236943,0.09559286419261781,0.0,0.8519135454135099,dummy_mean
extra_trees,model_comparison,cycle_context,88,10,0.13924632647995666,0.16398679893782658,0.13998866406812158,0.16238229164047258,0.012923044029823461,0.8316061327779798,0.13673777898604556,0.016078597203701236,0.8355441107102739,dummy_mean
pca_gpr,model_comparison,cycle_context,88,10,0.16627229859406087,0.21010357340681934,0.16325091619192883,0.19480533850617016,0.034484483938889726,0.7235762389755898,0.13324783611578184,0.03934084932750849,0.7300405520104623,dummy_mean
rbf_svr,model_comparison,cycle_context,88,10,0.17784276942314675,0.22088811292737598,0.17562099874296566,0.21082526880435104,0.01579976935082678,0.694470475680906,0.15234496231732564,0.05171093187854532,0.7016154420878273,dummy_mean
context_ridge,context_ablation,context,88,10,0.19719875681235377,0.24465254766529207,0.19584490356720974,0.23509731617292276,0.008668299531795204,0.6251927533083386,0.17010227577288362,0.0719348367027894,0.6339578151878764,dummy_mean
dummy_mean,baseline,context,88,10,0.3476747401792322,0.40437488375133057,0.34750868467071566,0.3932975905270903,0.001959015523308723,-0.023945496566295077,0.326828907694491,0.2235986178062953,0.0,dummy_mean
