model_id,metric,estimate,lower,upper,bootstrap_std,n_bootstrap,confidence_level
dummy_mean,overall_mae,0.3476747401792322,0.2885940559207501,0.3965566015576995,0.0280800544648127,10000,0.95
dummy_mean,overall_rmse,0.4043748837513305,0.3507673157452998,0.4463425470047542,0.0245462915296199,10000,0.95
dummy_mean,overall_median_absolute_error,0.326828907694491,0.24480048727526,0.3879351445318306,0.0381753452945634,10000,0.95
dummy_mean,overall_bias,0.0019590155233087,-0.0923466215750559,0.085884143221508,0.045992980426033,10000,0.95
dummy_mean,overall_r2,-0.023945496566295,-0.0883926320623535,-0.0141009463998562,0.0206193397962359,10000,0.95
dummy_mean,macro_lot_mae,0.3475086846707156,0.2870781755133881,0.3996746680274856,0.029048658449902,10000,0.95
dummy_mean,macro_lot_rmse,0.3932975905270903,0.3337390943891714,0.4444270911368431,0.0287520379137024,10000,0.95
dummy_mean,macro_lot_median_absolute_error,0.3430777536559602,0.2714720600455768,0.4081561302926857,0.0350549534333432,10000,0.95
dummy_mean,macro_lot_bias,-0.0287018167731733,-0.1474767949434332,0.074080975329001,0.0571764676995339,10000,0.95
dummy_mean,worst_lot_mae,0.4562947147528071,0.3727778519190444,0.4562947147528071,0.0169468560813781,10000,0.95
context_ridge,overall_mae,0.1971987568123537,0.1701161019329713,0.2293492813321022,0.015410955198722,10000,0.95
context_ridge,overall_rmse,0.244652547665292,0.2053086446739735,0.2818271932501053,0.0197573800448628,10000,0.95
context_ridge,overall_median_absolute_error,0.1701022757728836,0.1480089985482209,0.2121144934491496,0.0159816478905009,10000,0.95
context_ridge,overall_bias,0.0086682995317952,-0.0915604825463959,0.1061277042023111,0.0507692706942114,10000,0.95
context_ridge,overall_r2,0.6251927533083386,0.4871289534538547,0.7269177540738025,0.0611397028455085,10000,0.95
context_ridge,macro_lot_mae,0.1958449035672097,0.1715354029124475,0.2251404390188942,0.0139374391134207,10000,0.95
context_ridge,macro_lot_rmse,0.2350973161729227,0.2041943834111108,0.2703313436648635,0.017096209704047,10000,0.95
context_ridge,macro_lot_median_absolute_error,0.1768884380686039,0.1452855865572927,0.2162776723771498,0.0183762149967231,10000,0.95
context_ridge,macro_lot_bias,0.0013055786478593,-0.0980395568269183,0.0994150155302531,0.0507603114028409,10000,0.95
context_ridge,worst_lot_mae,0.3054978861831031,0.1975101296001202,0.3054978861831031,0.0409879758492175,10000,0.95
cycle_ridge,overall_mae,0.1239688413244871,0.0975748252732806,0.1481921538980194,0.0130740317130299,10000,0.95
cycle_ridge,overall_rmse,0.1556115544221422,0.1261192812553849,0.1812283635372927,0.0142154917095029,10000,0.95
cycle_ridge,overall_median_absolute_error,0.0955928641926178,0.0770112377508382,0.1443224913091327,0.0149873328993386,10000,0.95
cycle_ridge,overall_bias,0.0276050830569575,-0.0418509818946293,0.0906401413930785,0.0341344775651248,10000,0.95
cycle_ridge,overall_r2,0.8483675417236943,0.7455902319246341,0.9061140289663072,0.0414558440413807,10000,0.95
cycle_ridge,macro_lot_mae,0.1239100668644203,0.0985168911441514,0.1474569589010099,0.0125537917592747,10000,0.95
cycle_ridge,macro_lot_rmse,0.1482211370298924,0.1184862171871166,0.1759764144174064,0.0147347832350201,10000,0.95
cycle_ridge,macro_lot_median_absolute_error,0.119847455020464,0.0929638159259158,0.148617909273862,0.0142680942234789,10000,0.95
cycle_ridge,macro_lot_bias,0.0151578511620919,-0.0519529990761458,0.0807691336121805,0.0344147523517741,10000,0.95
cycle_ridge,worst_lot_mae,0.1778559123376112,0.150759434568755,0.1778559123376112,0.0086395699662126,10000,0.95
pls,overall_mae,0.1091636464959918,0.0852059135925743,0.1321753298902506,0.011823337631126,10000,0.95
pls,overall_rmse,0.1414697761701859,0.112167477003949,0.1671446614025656,0.0140681382920634,10000,0.95
pls,overall_median_absolute_error,0.0786412625003976,0.0630596939152781,0.1028202453516158,0.0097540194102913,10000,0.95
pls,overall_bias,0.0108666589857418,-0.0434103125797953,0.0628110253589441,0.0272536458268998,10000,0.95
pls,overall_r2,0.8746755444025467,0.7869534619714263,0.9245848493771296,0.0352814045195446,10000,0.95
pls,macro_lot_mae,0.1112269234811479,0.0873785235661807,0.1342370452613058,0.0118868269344576,10000,0.95
pls,macro_lot_rmse,0.1347339126797548,0.1044038862384081,0.1637499084983001,0.0150216154867205,10000,0.95
pls,macro_lot_median_absolute_error,0.0994569665074553,0.075365209011064,0.1251165042209173,0.0127593549190561,10000,0.95
pls,macro_lot_bias,-0.0003400600776057,-0.0558189832137691,0.0553877765535688,0.0285274312589255,10000,0.95
pls,worst_lot_mae,0.1647959349036476,0.1293183293223513,0.1647959349036476,0.0103284967188048,10000,0.95
elastic_net,overall_mae,0.0902786044148429,0.0729662492297452,0.1094461701341314,0.0093931216957002,10000,0.95
elastic_net,overall_rmse,0.1150580348648546,0.095638554208263,0.1331665486979754,0.009596165565946,10000,0.95
elastic_net,overall_median_absolute_error,0.0700241856618362,0.0510154185603752,0.0934950924402997,0.0106261149420895,10000,0.95
elastic_net,overall_bias,0.0136934027457091,-0.0320301865429203,0.055032463978718,0.022573843342264,10000,0.95
elastic_net,overall_r2,0.917102315811178,0.8771787995910383,0.9435323859299276,0.0168815582729603,10000,0.95
elastic_net,macro_lot_mae,0.0920580732709445,0.0745093162732036,0.1101352027424592,0.0091237703017306,10000,0.95
elastic_net,macro_lot_rmse,0.1125948141580825,0.0920401236795218,0.1322677790169443,0.010277893703364,10000,0.95
elastic_net,macro_lot_median_absolute_error,0.0794733330375301,0.0594391370367974,0.1018095380466625,0.0108493513823188,10000,0.95
elastic_net,macro_lot_bias,0.0085559389089179,-0.0351074503555003,0.0498482489136821,0.0219923524856237,10000,0.95
elastic_net,worst_lot_mae,0.1437580527702948,0.1102919102759329,0.1437580527702948,0.0127864219691344,10000,0.95
rbf_svr,overall_mae,0.1778427694231467,0.1483079530957523,0.205253002323438,0.0145376426702113,10000,0.95
rbf_svr,overall_rmse,0.2208881129273759,0.1922575572822632,0.2435702643115646,0.0131493356473275,10000,0.95
rbf_svr,overall_median_absolute_error,0.1523449623173256,0.1213651439391938,0.2203687221991899,0.0283058998106613,10000,0.95
rbf_svr,overall_bias,0.0157997693508267,-0.0520655787078103,0.0766822523251704,0.0337291289332665,10000,0.95
rbf_svr,overall_r2,0.694470475680906,0.6163941880091348,0.7478552639006474,0.0335078175664123,10000,0.95
rbf_svr,macro_lot_mae,0.1756209987429656,0.1439459437072511,0.2042778021880485,0.0152212748084975,10000,0.95
rbf_svr,macro_lot_rmse,0.210825268804351,0.1771406223412296,0.2391380425705465,0.0159013449498617,10000,0.95
rbf_svr,macro_lot_median_absolute_error,0.1648817239414263,0.1308190752639416,0.1988303956313356,0.0174913435438897,10000,0.95
rbf_svr,macro_lot_bias,-0.0004206995779654,-0.0725733777615953,0.0681467799721743,0.0366837212684057,10000,0.95
rbf_svr,worst_lot_mae,0.244097615940349,0.2100331432705978,0.244097615940349,0.0128650674676049,10000,0.95
pca_gpr,overall_mae,0.1662722985940608,0.1267119183809014,0.2058364841603373,0.0200315349391427,10000,0.95
pca_gpr,overall_rmse,0.2101035734068193,0.163688557369603,0.2490929259167486,0.021462206982789,10000,0.95
pca_gpr,overall_median_absolute_error,0.1332478361157818,0.0880785878162342,0.1940140478696541,0.0253629763740185,10000,0.95
pca_gpr,overall_bias,0.0344844839388897,-0.052132522944911,0.1178617144437555,0.0438402961157547,10000,0.95
pca_gpr,overall_r2,0.7235762389755898,0.5315580357875791,0.8457702651334091,0.0807112394547609,10000,0.95
pca_gpr,macro_lot_mae,0.1632509161919288,0.1270847082416885,0.2002257583336114,0.0185338034541341,10000,0.95
pca_gpr,macro_lot_rmse,0.1948053385061701,0.1528277150677037,0.2357056980225761,0.0210839381626496,10000,0.95
pca_gpr,macro_lot_median_absolute_error,0.1477586455940905,0.1112927011397851,0.1877778248224019,0.0193971013032413,10000,0.95
pca_gpr,macro_lot_bias,0.0344930139968728,-0.0471567198822427,0.1114869648706595,0.0408804683243163,10000,0.95
pca_gpr,worst_lot_mae,0.2830044406914617,0.1948282236000729,0.2830044406914617,0.0368008181839422,10000,0.95
extra_trees,overall_mae,0.1392463264799566,0.1171904423747177,0.16151273488556,0.0113875786943057,10000,0.95
extra_trees,overall_rmse,0.1639867989378265,0.1448870468993883,0.1822427696868505,0.0095383675614494,10000,0.95
extra_trees,overall_median_absolute_error,0.1367377789860455,0.1024524488278189,0.1647698796152994,0.0182018733653304,10000,0.95
extra_trees,overall_bias,0.0129230440298234,-0.0609162975819417,0.0834216293841431,0.0377318499828791,10000,0.95
extra_trees,overall_r2,0.8316061327779798,0.7671614165960156,0.8710367151979742,0.0262723164604502,10000,0.95
extra_trees,macro_lot_mae,0.1399886640681215,0.118838419479078,0.1604066338593319,0.0105766433257594,10000,0.95
extra_trees,macro_lot_rmse,0.1623822916404725,0.1430076587930284,0.1803222823045798,0.0095089372659831,10000,0.95
extra_trees,macro_lot_median_absolute_error,0.1358238976905269,0.1076329025561471,0.1624850949876236,0.0140780735067544,10000,0.95
extra_trees,macro_lot_bias,0.0061927397532714,-0.0697354000751074,0.0799411717979827,0.038832727020906,10000,0.95
extra_trees,worst_lot_mae,0.2015147960630692,0.1587623433460088,0.2015147960630692,0.0201546389303052,10000,0.95
