lot_number,primary_model_id,model_id,primary_mae_um,model_mae_um,model_minus_primary_mae_um
1,cycle_ridge,dummy_mean,0.06547453305238646,0.368640103754325,0.3031655707019385
2,cycle_ridge,dummy_mean,0.17785591233761125,0.4171731051498121,0.23931719281220085
3,cycle_ridge,dummy_mean,0.1234631067683118,0.33047414794670116,0.20701104117838937
4,cycle_ridge,dummy_mean,0.12998335061686958,0.4562947147528071,0.32631136413593753
5,cycle_ridge,dummy_mean,0.11207757559153393,0.37277785191904445,0.2607002763275105
6,cycle_ridge,dummy_mean,0.15075943456875507,0.3624934831460685,0.21173404857731343
7,cycle_ridge,dummy_mean,0.11013191806509089,0.1900423072316618,0.07991038916657091
8,cycle_ridge,dummy_mean,0.16627156431375525,0.16373068894382142,-0.0025408753699338316
9,cycle_ridge,dummy_mean,0.048550639080983636,0.37081613291186716,0.32226549383088354
10,cycle_ridge,dummy_mean,0.1545326342489055,0.4426443109510476,0.2881116767021421
1,cycle_ridge,context_ridge,0.06547453305238646,0.13497484530540207,0.06950031225301562
2,cycle_ridge,context_ridge,0.17785591233761125,0.20037631177407533,0.022520399436464084
3,cycle_ridge,context_ridge,0.1234631067683118,0.15232085799969325,0.028857751231381443
4,cycle_ridge,context_ridge,0.12998335061686958,0.30549788618310314,0.17551453556623356
5,cycle_ridge,context_ridge,0.11207757559153393,0.1830655725439591,0.07098799695242518
6,cycle_ridge,context_ridge,0.15075943456875507,0.23173696016121353,0.08097752559245847
7,cycle_ridge,context_ridge,0.11013191806509089,0.18287759418992758,0.07274567612483669
8,cycle_ridge,context_ridge,0.16627156431375525,0.19063512034659383,0.024363556032838574
9,cycle_ridge,context_ridge,0.048550639080983636,0.17945375756800924,0.1309031184870256
10,cycle_ridge,context_ridge,0.1545326342489055,0.19751012960012027,0.042977495351214756
1,cycle_ridge,cycle_ridge,0.06547453305238646,0.06547453305238646,0.0
2,cycle_ridge,cycle_ridge,0.17785591233761125,0.17785591233761125,0.0
3,cycle_ridge,cycle_ridge,0.1234631067683118,0.1234631067683118,0.0
4,cycle_ridge,cycle_ridge,0.12998335061686958,0.12998335061686958,0.0
5,cycle_ridge,cycle_ridge,0.11207757559153393,0.11207757559153393,0.0
6,cycle_ridge,cycle_ridge,0.15075943456875507,0.15075943456875507,0.0
7,cycle_ridge,cycle_ridge,0.11013191806509089,0.11013191806509089,0.0
8,cycle_ridge,cycle_ridge,0.16627156431375525,0.16627156431375525,0.0
9,cycle_ridge,cycle_ridge,0.048550639080983636,0.048550639080983636,0.0
10,cycle_ridge,cycle_ridge,0.1545326342489055,0.1545326342489055,0.0
1,cycle_ridge,pls,0.06547453305238646,0.05289131907143011,-0.012583213980956347
2,cycle_ridge,pls,0.17785591233761125,0.16479593490364763,-0.013059977433963615
3,cycle_ridge,pls,0.1234631067683118,0.09946771109670678,-0.023995395671605024
4,cycle_ridge,pls,0.12998335061686958,0.12931832932235138,-0.0006650212945182032
5,cycle_ridge,pls,0.11207757559153393,0.11919356596987499,0.0071159903783410555
6,cycle_ridge,pls,0.15075943456875507,0.09547319067629303,-0.055286243892462034
7,cycle_ridge,pls,0.11013191806509089,0.11761376852648435,0.007481850461393463
8,cycle_ridge,pls,0.16627156431375525,0.13159785350841133,-0.03467371080534393
9,cycle_ridge,pls,0.048550639080983636,0.04371206142550695,-0.0048385776554766835
10,cycle_ridge,pls,0.1545326342489055,0.15820550031077296,0.0036728660618674525
1,cycle_ridge,elastic_net,0.06547453305238646,0.05601302320567214,-0.009461509846714317
2,cycle_ridge,elastic_net,0.17785591233761125,0.14375805277029485,-0.034097859567316396
3,cycle_ridge,elastic_net,0.1234631067683118,0.09426789312563315,-0.029195213642678658
4,cycle_ridge,elastic_net,0.12998335061686958,0.11486064803445899,-0.015122702582410594
5,cycle_ridge,elastic_net,0.11207757559153393,0.08163651601432491,-0.030441059577209023
6,cycle_ridge,elastic_net,0.15075943456875507,0.06743006380692548,-0.08332937076182959
7,cycle_ridge,elastic_net,0.11013191806509089,0.11029191027593299,0.00015999221084210535
8,cycle_ridge,elastic_net,0.16627156431375525,0.08566402689319048,-0.08060753742056477
9,cycle_ridge,elastic_net,0.048550639080983636,0.04716842344384039,-0.001382215637143247
10,cycle_ridge,elastic_net,0.1545326342489055,0.11949017513917148,-0.035042459109734025
1,cycle_ridge,rbf_svr,0.06547453305238646,0.1516290932205714,0.08615456016818493
2,cycle_ridge,rbf_svr,0.17785591233761125,0.21003314327059783,0.03217723093298658
3,cycle_ridge,rbf_svr,0.1234631067683118,0.17213832696632564,0.04867522019801383
4,cycle_ridge,rbf_svr,0.12998335061686958,0.19088405919132684,0.06090070857445726
5,cycle_ridge,rbf_svr,0.11207757559153393,0.24409761594034904,0.1320200403488151
6,cycle_ridge,rbf_svr,0.15075943456875507,0.22157700899122473,0.07081757442246966
7,cycle_ridge,rbf_svr,0.11013191806509089,0.08178770029572509,-0.028344217769365798
8,cycle_ridge,rbf_svr,0.16627156431375525,0.1130394584365014,-0.053232105877253855
