block,delta_mae_median_um,delta_mae_q25_um,delta_mae_q75_um,outer_folds
cycle,0.19553458821084807,0.1386543858695537,0.2644524447014081,10
context,0.028382933830768904,0.01916082278809684,0.039552653405493896,10
timing,0.009340997847081013,0.005594008116954816,0.011018109884723508,10
slow,0.0029045711269947132,-0.0022377671959195626,0.010119946809941037,10
