model_id,role,lot_number,n_wafers,mae_um,mse,rmse_um,median_absolute_error_um,bias_um,r2,sse
dummy_mean,baseline,1,9,0.368640103754325,0.1619963978752154,0.40248776114959744,0.37205254935713583,-0.012573398295966202,-0.0009768413123028008,1.4579675808769386
dummy_mean,baseline,2,10,0.4171731051498121,0.20385965796496439,0.45150820365189864,0.4429621108239665,0.1549055353969969,-0.13341043135931985,2.038596579649644
dummy_mean,baseline,3,10,0.33047414794670116,0.1530068562776216,0.3911609084221244,0.28509463119418044,-0.10578658164361912,-0.07891067638681082,1.5300685627762158
dummy_mean,baseline,4,10,0.4562947147528071,0.2586547074984581,0.5085810726899479,0.4853610582829049,-0.06809596624518192,-0.01825487589475605,2.586547074984581
dummy_mean,baseline,5,10,0.37277785191904445,0.1774354864017534,0.4212309181455623,0.3811031939830052,0.21102190894929507,-0.33505259793339626,1.7743548640175342
dummy_mean,baseline,6,10,0.3624934831460685,0.17163293662641627,0.41428605651942507,0.41650617977528626,0.12475780545519725,-0.09972875590940355,1.7163293662641628
dummy_mean,baseline,7,6,0.1900423072316618,0.055973025183042584,0.2365861897555362,0.13951797752809014,-0.05476362581483111,-0.05661374229156779,0.3358381510982555
dummy_mean,baseline,8,10,0.16373068894382142,0.04321530280884674,0.20788290648547017,0.1627028089887652,0.06124174152434776,-0.09503546136731877,0.4321530280884674
dummy_mean,baseline,9,9,0.37081613291186716,0.178972684851941,0.4230516337894714,0.3118357026696046,-0.15508127610692432,-0.1552402323220068,1.6107541636674692
dummy_mean,baseline,10,4,0.4426443109510476,0.22676668254002935,0.4762002546618695,0.4336413239566639,-0.4426443109510476,-6.354747009333562,0.9070667301601174
context_ridge,context_ablation,1,9,0.13497484530540207,0.027150662616352985,0.1647745812203842,0.09378133554125156,0.005980168370927667,0.8322358715272953,0.24435596354717687
context_ridge,context_ablation,2,10,0.20037631177407533,0.06258669542677389,0.2501733307664386,0.17289671826434017,0.1820208379094531,0.6520330988036613,0.625866954267739
context_ridge,context_ablation,3,10,0.15232085799969325,0.031647872505797134,0.17789848932972177,0.13165512384550127,-0.07742915895855731,0.7768385785962512,0.3164787250579713
context_ridge,context_ablation,4,10,0.30549788618310314,0.11812693597512765,0.34369599353953434,0.32603095206298605,-0.24030286025915332,0.534965631615661,1.1812693597512764
context_ridge,context_ablation,5,10,0.1830655725439591,0.04612029062455636,0.21475635176766333,0.18898043283424926,0.14008752165652183,0.6529836558379183,0.4612029062455636
context_ridge,context_ablation,6,10,0.23173696016121353,0.09901224419714708,0.3146621111559939,0.15209798569193822,0.2170612992650625,0.36558440197446507,0.9901224419714708
context_ridge,context_ablation,7,6,0.18287759418992758,0.045560090550408584,0.21344809802480927,0.18485058818151856,0.1692459106000944,0.13995326108987793,0.2733605433024515
context_ridge,context_ablation,8,10,0.19063512034659383,0.06135090980685013,0.24769115811197243,0.13947733098434156,-0.05594227532300593,-0.5545748255614671,0.6135090980685013
context_ridge,context_ablation,9,9,0.17945375756800924,0.04012935994391191,0.20032313881304853,0.1726007966854084,-0.13015552718262946,0.740971360278303,0.3611642394952072
context_ridge,context_ablation,10,4,0.19751012960012027,0.049974561813756695,0.22354990899966096,0.206513116594504,-0.19751012960012027,-0.6208300748836924,0.19989824725502678
cycle_ridge,reference_model,1,9,0.06547453305238646,0.006290693709508404,0.07931389354651809,0.06248053915002316,0.012460089493360095,0.9611297608984041,0.05661624338557564
cycle_ridge,reference_model,2,10,0.17785591233761125,0.04127180070244442,0.2031546226460142,0.2065980580660991,0.16433108920550552,0.7705387622833513,0.41271800702444417
cycle_ridge,reference_model,3,10,0.1234631067683118,0.02406992064991908,0.1551448376515283,0.08339327153097642,-0.09963704136316451,0.8302736556990533,0.2406992064991908
cycle_ridge,reference_model,4,10,0.12998335061686958,0.021400512775594654,0.1462891410036803,0.16369041890974145,-0.1165043585838859,0.9157518659097779,0.21400512775594654
cycle_ridge,reference_model,5,10,0.11207757559153393,0.018236715915455164,0.1350433853080378,0.09679213025438216,0.04451738693984808,0.8627840718086417,0.18236715915455162
cycle_ridge,reference_model,6,10,0.15075943456875507,0.027299392105403962,0.16522527683561,0.16226071088590643,0.13235301913182412,0.8250806220107628,0.27299392105403963
cycle_ridge,reference_model,7,6,0.11013191806509089,0.01719654846837215,0.13113561098485854,0.13088415879138182,-0.002656324457594413,0.6753773916588346,0.10317929081023289
cycle_ridge,reference_model,8,10,0.16627156431375525,0.04740215495987945,0.21772035954379518,0.09686091158767951,0.1593484644765475,-0.20112638932315163,0.4740215495987945
cycle_ridge,reference_model,9,9,0.048550639080983636,0.003991753348833742,0.06318032406401333,0.06531115217758554,0.011898821027384562,0.9742338666378406,0.03592578013950368
cycle_ridge,reference_model,10,4,0.1545326342489055,0.03459745777728754,0.18600391871486885,0.1302031988508645,-0.1545326342489055,-0.12210288684332049,0.13838983110915015
pls,model_comparison,1,9,0.05289131907143011,0.003460405626381425,0.05882521250604561,0.06600924525936591,-0.009478818744826058,0.9786181301622353,0.031143650637432827
pls,model_comparison,2,10,0.16479593490364763,0.03679739537833693,0.1918264720478822,0.16998407730986642,0.1534741231187006,0.795415374552291,0.3679739537833693
pls,model_comparison,3,10,0.09946771109670678,0.013545791406076063,0.11638638840550068,0.10012560639601276,-0.04850404187310531,0.9044833720287233,0.13545791406076063
pls,model_comparison,4,10,0.12931832932235138,0.02159812548200175,0.14696300718889005,0.14314394387993445,-0.10927802001457323,0.914973917177339,0.2159812548200175
pls,model_comparison,5,10,0.11919356596987499,0.02055693635848575,0.14337690315558413,0.10675494488886272,0.04093440163456208,0.8453263670785266,0.2055693635848575
pls,model_comparison,6,10,0.09547319067629303,0.01404420890814031,0.11850826514695213,0.063651606293881,0.03401705686701604,0.9100124912277253,0.1404420890814031
pls,model_comparison,7,6,0.11761376852648435,0.018466386889936712,0.13589108465950483,0.09414677862853793,-0.0019063977950371698,0.6514064034492955,0.11079832133962027
pls,model_comparison,8,10,0.13159785350841133,0.03924831783447053,0.19811188211329106,0.055316658986722445,0.11948118305822533,0.0054842374270629435,0.3924831783447053
pls,model_comparison,9,9,0.04371206142550695,0.0028115258788372734,0.053023823691217074,0.047343740084322405,-0.023934586716247312,0.9818520473549678,0.02530373290953546
pls,model_comparison,10,4,0.15820550031077296,0.03401298189171002,0.18442608788268006,0.14809306334704786,-0.15820550031077296,-0.1031465206640867,0.1360519275668401
elastic_net,model_comparison,1,9,0.05601302320567214,0.0038505722353412678,0.06205297926241147,0.05337362953968494,0.0208598357374533,0.9762072880389246,0.03465515011807141
elastic_net,model_comparison,2,10,0.14375805277029485,0.025241934791673713,0.1588771059393823,0.14303697349570754,0.10911254181164906,0.8596609427967764,0.25241934791673715
elastic_net,model_comparison,3,10,0.09426789312563315,0.01329211756959291,0.11529144621173294,0.08807445068986297,-0.06963004862770887,0.9062721246190326,0.1329211756959291
elastic_net,model_comparison,4,10,0.11486064803445899,0.018468138327108835,0.13589752877484135,0.10380622770720294,-0.10162154275451699,0.927295845174635,0.18468138327108835
elastic_net,model_comparison,5,10,0.08163651601432491,0.009354872239388636,0.0967205884979441,0.07297746776648495,0.05653665657281977,0.9296124651285799,0.09354872239388635
elastic_net,model_comparison,6,10,0.06743006380692548,0.010115905482841716,0.10057785781593141,0.03592286900362396,0.049437409240022136,0.935182882899934,0.10115905482841717
elastic_net,model_comparison,7,6,0.11029191027593299,0.01893128008499711,0.13759098838585726,0.07004117384814279,0.03797941567286026,0.6426305236930683,0.11358768050998265
elastic_net,model_comparison,8,10,0.08566402689319048,0.014009391222169834,0.11836127416587672,0.05609117918263706,0.0837314318165916,0.6450150945765547,0.14009391222169834
elastic_net,model_comparison,9,9,0.04716842344384039,0.0030834804405747455,0.05552909544171187,0.04177993414546677,-0.016574962624087815,0.9800966238871769,0.02775132396517271
elastic_net,model_comparison,10,4,0.11949017513917148,0.021039292782920584,0.1450492770851361,0.12962942499648733,-0.08427134775590339,0.3176304651969164,0.08415717113168233
rbf_svr,model_comparison,1,9,0.1516290932205714,0.03144057731681436,0.1773149100239863,0.12585631652126494,-0.0361347040878207,0.8057284594941292,0.28296519585132923
rbf_svr,model_comparison,2,10,0.21003314327059783,0.05813915767142486,0.2411206288798718,0.18726233508254708,0.1566062936587919,0.6767603338834108,0.5813915767142486
rbf_svr,model_comparison,3,10,0.17213832696632564,0.057438578526081564,0.23966346931913,0.13968010696017785,-0.055719582284428526,0.5949783093652428,0.5743857852608156
rbf_svr,model_comparison,4,10,0.19088405919132684,0.060144299716393054,0.2452433479554401,0.16515004273656686,-0.05979780929940617,0.7632278683972612,0.6014429971639306
rbf_svr,model_comparison,5,10,0.24409761594034904,0.07377781528301482,0.2716207195392406,0.26346914942742927,0.11402366274867433,0.44488407611756176,0.7377781528301481
rbf_svr,model_comparison,6,10,0.22157700899122473,0.06431833572064906,0.25361059859684304,0.19419930608372127,0.10892893809025353,0.5878837435602896,0.6431833572064906
rbf_svr,model_comparison,7,6,0.08178770029572509,0.008964077127899692,0.09467881034265108,0.09432664025702664,0.002106541090112065,0.8307833630695055,0.05378446276739815
rbf_svr,model_comparison,8,10,0.1130394584365014,0.02975330119065987,0.17249145251478368,0.07055803301219399,0.10838809570695318,0.24607910210349637,0.2975330119065987
rbf_svr,model_comparison,9,9,0.15859704320920542,0.03569263854398622,0.18892495479418864,0.18585780488206893,-0.130181893494955,0.7696096916808762,0.321233746895876
rbf_svr,model_comparison,10,4,0.21242653790782917,0.049989713868369395,0.2235837960773754,0.22245750445126689,-0.21242653790782917,-0.6213215030207528,0.19995885547347758
pca_gpr,model_comparison,1,9,0.06544647100706334,0.006108580097441906,0.078157405902716,0.06485976420115236,0.03146017055875521,0.9622550421426618,0.05497722087697715
pca_gpr,model_comparison,2,10,0.1948282236000729,0.05329403484980001,0.23085500828398767,0.1739400511268201,0.1948282236000729,0.7036980458469544,0.5329403484980001
pca_gpr,model_comparison,3,10,0.16056911980930905,0.03978193635137321,0.19945409585008078,0.1581933158933353,-0.1005666712938897,0.7194821402058003,0.39781936351373215
pca_gpr,model_comparison,4,10,0.09070149772382621,0.010457510567522917,0.10226197028965811,0.07807445076049646,-0.0659939070240867,0.9588315587677265,0.10457510567522917
pca_gpr,model_comparison,5,10,0.2830044406914617,0.09539592744795744,0.3088623114722116,0.27581459616269655,0.18281104943009224,0.2822259889811827,0.9539592744795744
pca_gpr,model_comparison,6,10,0.14935030441471825,0.028619210075498384,0.16917213149776883,0.11420165215665534,-0.0029658998521647105,0.8166239597709383,0.28619210075498386
pca_gpr,model_comparison,7,6,0.1297388815260554,0.03182039078872527,0.17838270877168916,0.09508856601167537,0.1297388815260554,0.3993202603842624,0.19092234473235162
pca_gpr,model_comparison,8,10,0.198088720057153,0.07153622888964833,0.26746257474579194,0.1351428956717804,0.17423671907914695,-0.8126613101185547,0.7153622888964833
pca_gpr,model_comparison,9,9,0.21119233454670588,0.0590867270834745,0.24307761534842012,0.2201080869219183,-0.21119233454670588,0.6186045687389161,0.5317805437512705
pca_gpr,model_comparison,10,4,0.14958916854292248,0.029025106488273188,0.17036756289937702,0.16216307703437494,0.012573908491452457,0.05862575247343582,0.11610042595309275
extra_trees,model_comparison,1,9,0.07488244524472126,0.009535066647292088,0.09764766585685541,0.05296133742838549,-0.00592862635784049,0.9410827585088608,0.0858155998256288
extra_trees,model_comparison,2,10,0.16001478004343356,0.03277579890769094,0.18104087634479385,0.18962345272476355,0.15293725537232278,0.8177744790266611,0.3277579890769094
extra_trees,model_comparison,3,10,0.15302469079350872,0.02905934489300378,0.17046801721438476,0.1719308645504789,-0.12015944699018562,0.7950912905694811,0.2905934489300378
extra_trees,model_comparison,4,10,0.14437425086399572,0.02679116026394627,0.16368005456971924,0.1709108924096263,-0.10864092722307106,0.8945303186882699,0.2679116026394627
extra_trees,model_comparison,5,10,0.2015147960630692,0.04488090764504795,0.21185114501708022,0.18337595590727318,0.1545956961913511,0.6623089689428778,0.4488090764504795
extra_trees,model_comparison,6,10,0.1270270168883229,0.022796193086589596,0.150984082229186,0.11554828857410016,0.08266490427315176,0.853934626095961,0.22796193086589597
extra_trees,model_comparison,7,6,0.14408316791658274,0.033369232668688464,0.18267247375751078,0.10339432481261568,0.14408316791658274,0.37008246932948097,0.2002153960121308
extra_trees,model_comparison,8,10,0.09480264993270708,0.01678850307026994,0.1295704560085745,0.07377815274622535,0.05692160222616564,0.5745949927381686,0.1678850307026994
extra_trees,model_comparison,9,9,0.14140049958886575,0.024568592904322475,0.1567437172722482,0.14142952617675775,-0.13578388452975312,0.8414136380750256,0.22111733613890228
extra_trees,model_comparison,10,4,0.1587623433460088,0.0320998923087169,0.17916442813437297,0.15528618157504326,-0.1587623433460088,-0.041099090541179883,0.1283995692348676
